lagoslakeid,summerpud,totalpud,nhd_lat,nhd_long,lake_area_ha,lagosname1,meandepth,maxdepth,state_name,hu12_nlcd2011_pct_11,hu12_nlcd2011_pct_21,hu12_nlcd2011_pct_22,hu12_nlcd2011_pct_23,hu12_nlcd2011_pct_24,hu12_nlcd2011_pct_31,hu12_nlcd2011_pct_41,hu12_nlcd2011_pct_42,hu12_nlcd2011_pct_43,hu12_nlcd2011_pct_52,hu12_nlcd2011_pct_71,hu12_nlcd2011_pct_81,hu12_nlcd2011_pct_82,hu12_nlcd2011_pct_90,hu12_nlcd2011_pct_95
709,44,70,44.328671,-68.363502,379.3982403,LONG POND (MDI),,34.4424,Maine,8.3431,4.0654,2.5876,0.6039,0.0637,0.105,2.9025,48.9804,17.6863,2.9296,1.4778,0,0,8.8313,1.4235
720,2,2,45.631575,-89.627518,103.3394861,ONEIDA LAKE,,10.3632,Wisconsin,7.8181,3.449,0.1485,0.0141,0.0106,0,54.5664,1.012,11.0897,1.9979,1.4611,0.2645,2.6803,12.893,2.5947
731,2,2,43.725926,-85.905386,62.44828281,NICHOLS LAKE NEAR WOODLAND PARK_ MI,4.8768,15.2,Michigan,2.5694,3.2521,0.5158,0.0431,0.0039,0,57.2504,6.5606,3.1008,1.9792,1.9839,0.2955,3.9646,15.5032,2.9777
743,0,0,44.665438,-73.178613,11.75897784,ROUND POND,,9.4488,Vermont,4.0797,5.4506,3.5382,1.4052,0.2301,0.0807,27.8659,8.5341,12.8345,1.4664,0.4695,17.1429,6.4616,8.3976,2.0429
753,0,0,46.354857,-88.721283,26.06645524,HANNAH WEBB LAKE NEAR AMASA_ MI,,6.096,Michigan,6.0987,1.4304,0,0,0,0.0224,27.5085,18.0458,7.7778,0.9967,0.5224,0,0,34.8668,2.7305
763,1,4,47.473158,-93.250267,102.6195749,SHOAL,,22.3,Minnesota,7.3802,4.1492,0.6348,0.047,0.0133,0.3945,31.5482,3.7077,13.2577,8.8071,1.2351,6.8112,0.5706,18.4557,2.9876
773,0,0,45.170654,-94.012932,72.9081813,ROCK,,11.3,Minnesota,4.5091,3.1509,1.787,0.1257,0.0036,0.0122,6.7881,0.2018,0.0452,2.4643,2.3874,17.8131,58.416,0.1307,2.1648
784,0,0,47.919817,-91.664963,73.18040092,PICKEREL,,4,Minnesota,17.2941,0.1252,0,0,0,0,10.9728,16.6111,22.9784,5.9015,0.7584,0,0,25.1081,0.2503
794,0,0,45.306306,-92.228721,10.13690835,PAULSON LAKE,,3.6576,Wisconsin,2.137,6.1049,0.9237,0.6874,0.2744,0,26.4652,1.362,1.0812,0.122,1.2311,38.7755,15.5005,2.1853,3.1497
805,4,4,47.449277,-92.809582,38.36773999,SIX MILE,,4.3,Minnesota,6.5298,4.3516,0.881,0.7474,0.2343,0.2972,25.0397,4.7262,10.7071,9.3508,2.883,3.9121,0.5305,22.8944,6.9151
815,0,0,43.910302,-89.590683,5.193053921,TWIN LAKES,,7.3152,Wisconsin,1.5892,4.5435,1.9188,0.5437,0.0619,0.0164,29.7328,4.5684,2.7842,0.0648,0.7373,6.337,34.4109,9.4564,3.2347
825,0,0,46.131199,-89.9177,11.21057902,BENSON LAKE,,4.572,Wisconsin,4.7147,3.6613,0.2916,0.0073,0.0184,0,14.344,6.5005,7.1573,4.5171,0.4679,0.0125,0.3284,46.4603,11.5187
835,2,8,45.190711,-84.76389,205.4969592,THUMB LAKE NEAR VANDERBILT_ MI,,19.812,Michigan,2.8206,3.4182,0.5237,0.0298,0,0.0156,69.7684,2.1234,1.373,2.321,6.5834,0.3852,3.9455,6.0334,0.6588
846,0,0,39.134521,-87.339607,4.752464812,MOHAWK (GLENDORA),,15.2,Indiana,4.4313,5.8023,1.2552,0.3423,0.0588,0.0674,32.9968,0.4478,0,0.0709,0.3873,13.9387,39.074,0.1193,1.008
856,0,0,47.085665,-92.064963,80.53320704,THOMPSON,,2.6,Minnesota,5.8185,1.651,0.0386,0,0,0.207,17.973,14.8821,12.8942,9.8176,0.7702,0.3044,0.0193,33.7815,1.8428
866,4,11,48.092415,-91.88753,57.03760419,ANGLEWORM,,4.6,Minnesota,5.0831,0.2983,0.0066,0,0,0,7.3674,14.582,30.3061,8.2557,0.1369,0,0,31.5738,2.3901
876,0,6,45.906082,-95.111607,2566.291503,OSAKIS,,20.4,Minnesota,27.2438,4.3645,0.4146,0.2845,0.0744,0,8.5988,0.2315,0.0093,0.0706,3.1235,23.1675,25.0927,0.2965,7.0278
886,0,0,47.48923,-92.838413,37.21681955,FRASER PIT,,110,Minnesota,6.5298,4.3516,0.881,0.7474,0.2343,0.2972,25.0397,4.7262,10.7071,9.3508,2.883,3.9121,0.5305,22.8944,6.9151
896,0,0,44.534405,-72.095476,27.03439279,CHANDLER POND,,1.8288,Vermont,0.3311,5.0928,3.4573,2.0423,0.6167,0.4225,27.3603,16.9127,22.2477,4.0964,0.3929,9.0293,6.0426,1.8422,0.1132
909,1,4,42.583029,-83.847199,125.5444699,LAKE CHEMUNG NEAR HOWELL_ MI,,8.8392,Michigan,2.879,15.2034,7.9428,2.9451,0.9191,1.0212,22.0384,1.1731,0.7757,0.1622,0.8392,17.6199,9.5655,16.0143,0.901
920,0,0,42.92817,-88.686461,11.27005212,GREEN ISLE LAKE,,4.572,Wisconsin,2.8006,2.6932,2.6792,0.1807,0.0612,0.0974,4.7741,0.0592,0.2369,0.0482,0.266,16.9494,50.7298,7.4051,11.0189
930,0,0,45.769283,-89.432438,35.13263746,JENNY BARNES LAKE,,2.7432,Wisconsin,12.3424,2.8152,0.2216,0.0214,0,0.0136,19.6241,1.9152,15.3155,1.4626,0.5262,0.6005,2.4535,39.081,3.6073
940,0,1,40.766595,-86.532926,22.50695191,CICOTT,,15.5,Indiana,0.4327,6.1977,0.3899,0.1334,0.0257,0,27.7581,0.7234,0,0.4446,0.5969,9.4796,53.505,0.1864,0.1266
950,0,2,45.962186,-89.886999,74.86404078,MOSS LAKE,,8.8392,Wisconsin,24.4823,5.2227,0.82,0.2284,0.0474,0,21.4006,4.7098,19.2638,2.3867,0.1218,0,0.4924,18.0527,2.7714
961,1,1,45.870977,-89.936586,47.11963313,GREAT BASS LAKE,,4.572,Wisconsin,10.3134,2.3316,0.0899,0.0082,0,0,27.4788,2.7569,13.8251,2.3219,0.3729,0.0344,0.2037,31.9414,8.3217
972,1,1,46.249148,-95.667133,1015.632712,CLITHERALL,,21.3,Minnesota,13.5375,5.0908,0.2687,0.1142,0.0532,0,13.8792,0.324,0.039,1.3018,6.382,12.7774,43.0402,0.1475,3.0446
982,0,3,45.843659,-89.738475,8.057869446,PAPKEE LAKE,,5.7912,Wisconsin,10.9089,4.3044,0.2169,0,0,0,25.5857,1.7604,13.3606,1.4635,0.8003,0.0633,0.6508,36.012,4.8732
992,4,4,47.860858,-90.298335,153.8393925,ELBOW,,2.7,Minnesota,4.3647,1.4602,0,0,0,0.0018,15.7868,22.1643,17.7202,20.8648,2.3377,0,0,14.1853,1.1141
1004,3,9,45.356543,-93.336178,194.4138842,GEORGE,2.7,9.8,Minnesota,4.6027,11.2636,1.9603,0.9758,0.1679,0.0154,26.9379,1.9238,0.048,0.5364,4.0126,9.9951,22.5233,0.8664,14.1708
1015,0,0,47.668894,-93.720655,203.2224395,BELLO,,17.7,Minnesota,18.6613,2.9068,0.604,0.1283,0.0086,0,25.6744,9.1863,12.9687,2.3695,0.422,2.4289,0.0939,21.8712,2.6761
1026,1,1,43.355057,-85.357168,44.97592928,COWDEN LAKE NEAR CORAL (CMI)_ MI,5.1816,15.2,Michigan,1.0765,4.6097,2.3226,0.1292,0.0333,0.1063,10.6147,0.632,0.2327,0.1521,0.9501,14.8744,39.81,24.2751,0.1813
1036,0,0,41.068454,-74.529603,12.6962266,LAKE STOCKHOLM,,4.7,New Jersey,6.5148,2.2706,0.3306,0.114,0.0047,0.3745,69.7975,0.5221,0.4698,0.1924,0.213,0.0439,0.0299,18.6954,0.4268
1047,0,0,45.850136,-90.386037,17.64907366,SWEENEY LAKE,,4.2672,Wisconsin,3.0243,2.1239,0.0413,0,0,0.0254,27.0969,0.9605,16.1169,2.4694,0.553,0.4366,2.5605,37.8299,6.7613
1057,0,3,44.317795,-89.323975,15.96469235,PICKEREL LAKE,,4.8768,Wisconsin,2.7879,3.7839,0.406,0,0,0.0541,29.8977,9.0077,2.5009,0.1949,0.1353,10.9782,37.3518,2.6255,0.2761
1067,3,4,46.645619,-93.52513,281.4546454,GUN,,13.4,Minnesota,7.8367,2.3484,0.0574,0.0174,0,0,9.9676,0.341,0.4853,0.9655,0.8976,15.6977,16.3988,34.979,10.0077
